Perimeter,Compactness,Length,Width,Asymetry,Groove,Kernel,Cluster,Silhouette
continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous
,,,,,,class,meta,meta
14.84,0.871,5.763,3.312,2.221,5.22,1,C1,0.6216111384545743
14.57,0.8811,5.554,3.333,1.018,4.956,1,C1,0.649747629942466
14.09,0.905,5.291,3.337,2.699,4.825,1,C1,0.6475162870583958
13.94,0.8955,5.324,3.379,2.259,4.805,1,C1,0.6535882682323966
14.99,0.9034,5.658,3.562,1.355,5.175,1,C1,0.5897916333119176
14.21,0.8951,5.386,3.312,2.462,4.956,1,C1,0.6601625672421098
14.49,0.8799,5.563,3.259,3.586,5.219,1,C1,0.6300154015691368
14.1,0.8911,5.42,3.302,2.7,5.0,1,C1,0.6589564511200795
15.46,0.8747,6.053,3.465,2.04,5.877,1,C2,0.599873284548577
15.25,0.888,5.884,3.505,1.969,5.533,1,C2,0.5059480946721547
14.85,0.8696,5.714,3.242,4.543,5.314,1,C1,0.5599829418946896
14.16,0.8796,5.438,3.201,1.717,5.001,1,C1,0.6558450853926063
14.02,0.888,5.439,3.199,3.986,4.738,1,C1,0.6088611826604756
14.06,0.8759,5.479,3.156,3.136,4.872,1,C1,0.6278048971922315
14.05,0.8744,5.482,3.114,2.932,4.825,1,C1,0.6253435179939892
14.28,0.8993,5.351,3.333,4.185,4.781,1,C1,0.6164716447688083
13.83,0.9183,5.119,3.383,5.234,4.781,1,C1,0.5730492095372434
14.75,0.9058,5.527,3.514,1.599,5.046,1,C1,0.6211433117266792
14.21,0.9153,5.205,3.466,1.767,4.649,1,C1,0.6369440293262054
13.57,0.8686,5.226,3.049,4.102,4.914,1,C1,0.4828322988076301
14.4,0.8584,5.658,3.129,3.072,5.176,1,C1,0.5831537968153063
14.26,0.8722,5.52,3.168,2.688,5.219,1,C1,0.6361231775126955
14.9,0.8988,5.618,3.507,0.7651,5.091,1,C1,0.6078931118259063
13.23,0.8664,5.099,2.936,1.415,4.961,1,C1,0.5770964830429274
14.76,0.8657,5.789,3.245,1.791,5.001,1,C1,0.6352694057417342
15.16,0.8849,5.833,3.421,0.903,5.307,1,C1,0.5727405543487518
13.76,0.8641,5.395,3.026,3.373,4.825,1,C1,0.5431375360771526
13.67,0.8564,5.395,2.956,2.504,4.869,1,C1,0.5436979486904165
14.18,0.882,5.541,3.221,2.754,5.038,1,C1,0.6547351951095735
14.02,0.8604,5.516,3.065,3.531,5.097,1,C1,0.5371523617862
13.82,0.8662,5.454,2.975,0.8551,5.056,1,C1,0.6123742681186499
14.94,0.8724,5.757,3.371,3.412,5.228,1,C1,0.5946410470386958
14.41,0.8529,5.717,3.186,3.92,5.299,1,C1,0.5208113407912789
14.17,0.8728,5.585,3.15,2.124,5.012,1,C1,0.6457879765700474
14.68,0.8779,5.712,3.328,2.129,5.36,1,C1,0.6175467175618481
15.0,0.9,5.709,3.485,2.27,5.443,1,C1,0.5528676156591559
15.27,0.8734,5.826,3.464,2.823,5.527,1,C2,0.504056347250282
15.38,0.9079,5.832,3.683,2.956,5.484,1,C2,0.5454174003568588
14.52,0.8823,5.656,3.288,3.112,5.309,1,C1,0.6310564427003563
14.17,0.8944,5.397,3.298,6.685,5.001,1,C1,0.5001906879569378
13.85,0.8871,5.348,3.156,2.587,5.178,1,C1,0.6456433817051253
13.85,0.8852,5.351,3.158,2.249,5.176,1,C1,0.6485405663262226
13.55,0.9009,5.138,3.201,2.461,4.783,1,C1,0.6344349535694832
14.86,0.882,5.877,3.396,4.711,5.528,1,C2,0.5218598727885668
14.54,0.8986,5.579,3.462,3.128,5.18,1,C1,0.6222067150346295
14.04,0.8794,5.376,3.155,1.56,4.961,1,C1,0.6496596757818198
14.76,0.8861,5.701,3.393,1.367,5.132,1,C1,0.627940888190015
14.56,0.8883,5.57,3.377,2.958,5.175,1,C1,0.6440261694107441
14.52,0.8819,5.545,3.291,2.704,5.111,1,C1,0.6583499615100271
14.67,0.8676,5.678,3.258,2.129,5.351,1,C1,0.624830305982043
14.4,0.8751,5.585,3.272,3.975,5.144,1,C1,0.6058220628971135
14.91,0.8923,5.674,3.434,5.593,5.136,1,C1,0.547129743250401
14.61,0.8538,5.715,3.113,4.116,5.396,1,C1,0.5033678394988478
14.28,0.8831,5.504,3.199,3.328,5.224,1,C1,0.6372205863695526
14.6,0.8557,5.741,3.113,1.481,5.487,1,C1,0.5981682883785308
14.77,0.8658,5.702,3.212,1.933,5.439,1,C1,0.6086466760035647
14.35,0.8818,5.388,3.377,2.802,5.044,1,C1,0.6539188446967721
14.43,0.9006,5.384,3.412,1.142,5.088,1,C1,0.6404474529071976
14.77,0.8857,5.662,3.419,1.999,5.222,1,C1,0.6258990212823812
13.47,0.8392,5.159,3.032,1.502,4.519,1,C1,0.5188488669534901
12.86,0.8683,5.008,2.85,2.7,4.607,1,C1,0.5101558412793381
12.63,0.884,4.902,2.879,2.269,4.703,1,C1,0.5571822759678551
13.19,0.8923,5.076,3.042,3.22,4.605,1,C1,0.5870379475175557
13.84,0.868,5.395,3.07,4.157,5.088,1,C1,0.5053692538721154
13.57,0.8716,5.262,3.026,1.176,4.782,1,C1,0.6142220656746793
13.5,0.8879,5.139,3.119,2.352,4.607,1,C1,0.6200958188371732
14.37,0.8726,5.63,3.19,1.313,5.15,1,C1,0.646141395631795
14.29,0.8625,5.609,3.158,2.217,5.132,1,C1,0.6236389858223552
14.39,0.8726,5.569,3.153,1.464,5.3,1,C1,0.6415845028974252
13.75,0.8458,5.412,2.882,3.533,5.067,1,C3,0.5873140227004452
15.98,0.8673,6.191,3.561,4.076,6.06,2,C2,0.6604091936860444
15.67,0.8623,5.998,3.484,4.675,5.877,2,C2,0.6229402109925714
15.73,0.8763,5.978,3.594,4.539,5.791,2,C2,0.6354949825743726
16.26,0.9081,6.154,3.93,2.936,6.079,2,C2,0.6566045251982313
15.51,0.8786,6.017,3.486,4.004,5.841,2,C2,0.6319773550011643
15.62,0.8638,5.927,3.438,4.92,5.795,2,C2,0.6039301295565594
15.91,0.8599,6.064,3.403,3.824,5.922,2,C2,0.6272232332989977
17.23,0.8763,6.579,3.814,4.451,6.451,2,C2,0.665660211639681
16.49,0.875,6.445,3.639,5.064,6.362,2,C2,0.6635908039488292
15.55,0.8892,5.85,3.566,2.858,5.746,2,C2,0.5972266813746394
15.34,0.8823,5.875,3.467,5.532,5.88,2,C2,0.6031613237373069
16.19,0.8977,6.006,3.857,5.324,5.879,2,C2,0.6437778373199202
16.89,0.8894,6.285,3.864,5.173,6.187,2,C2,0.6655283190985107
16.74,0.8779,6.384,3.772,1.472,6.273,2,C2,0.6513333053550158
